,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Salalah,17.02,54.09,71.6,78,20,4.7,OM,2020-11-07 01:09:30
1,Olonets,60.98,32.97,44.73,74,19,13.11,RU,2020-11-07 01:09:30
2,Santa Rosa,14.31,121.11,84.99,74,75,5.5,PH,2020-11-07 01:09:31
3,Hermanus,-34.42,19.23,55.99,90,89,8.99,ZA,2020-11-07 01:00:23
4,Kuytun,54.34,101.5,14.59,96,100,5.59,RU,2020-11-07 01:09:31
5,Buala,-8.14,159.59,85.69,65,18,3.04,SB,2020-11-07 01:04:49
6,Itoman,26.12,127.67,82.4,78,20,5.82,JP,2020-11-07 01:05:49
7,Miri,4.41,114.01,82.4,83,20,4.7,MY,2020-11-07 01:09:31
8,Vestmannaeyjar,63.44,-20.27,40.75,69,99,16.44,IS,2020-11-07 01:04:36
9,Vanimo,-2.67,141.3,86.49,60,72,6.22,PG,2020-11-07 01:09:32
10,Barguzin,53.62,109.62,14.74,88,21,6.67,RU,2020-11-07 01:09:32
11,Rikitea,-23.12,-134.97,71.49,75,24,17.98,PF,2020-11-07 01:04:32
12,Vaini,-21.2,-175.2,78.8,74,40,10.29,TO,2020-11-07 01:04:35
13,Farafangana,-22.82,47.83,73.51,88,81,10.92,MG,2020-11-07 01:09:32
14,Doha,25.29,51.53,82.4,61,0,6.93,QA,2020-11-07 01:09:32
15,Arman,59.7,150.17,12.25,86,100,8.97,RU,2020-11-07 01:04:55
16,Port Hardy,50.7,-127.42,44.6,70,40,14.99,CA,2020-11-07 01:04:36
17,Albany,42.6,-73.97,55.0,71,20,5.41,US,2020-11-07 01:04:42
18,Lebu,-37.62,-73.65,52.86,79,0,20.62,CL,2020-11-07 01:09:33
19,Hobart,-42.88,147.33,57.99,46,40,12.75,AU,2020-11-07 01:02:39
20,Saint-Philippe,-21.36,55.77,69.8,68,0,6.93,RE,2020-11-07 01:04:41
21,Kodiak,57.79,-152.41,44.6,65,20,1.07,US,2020-11-07 01:09:33
22,Ushuaia,-54.8,-68.3,53.6,32,40,12.75,AR,2020-11-07 01:04:29
23,Kropotkin,45.44,40.58,48.0,74,78,12.44,RU,2020-11-07 01:09:33
24,Ribeira Grande,38.52,-28.7,59.45,67,98,28.39,PT,2020-11-07 01:00:30
25,Sao Joao Da Barra,-21.64,-41.05,70.65,83,100,10.47,BR,2020-11-07 01:09:34
26,Athabasca,54.72,-113.29,24.8,73,73,2.24,CA,2020-11-07 01:09:34
27,Punta Arenas,-53.15,-70.92,51.8,53,75,12.75,CL,2020-11-07 01:02:17
28,Sembakung,3.82,117.25,79.99,85,100,2.55,ID,2020-11-07 01:09:34
29,Port Alfred,-33.59,26.89,62.74,69,100,4.03,ZA,2020-11-07 01:04:50
30,Hervey Bay,-25.3,152.85,80.01,54,37,4.0,AU,2020-11-07 01:09:35
31,Hilo,19.73,-155.09,82.4,69,75,10.29,US,2020-11-07 01:00:07
32,Mount Isa,-20.73,139.5,87.8,8,0,14.99,AU,2020-11-07 01:09:35
33,Lubango,-14.92,13.49,62.28,47,62,3.65,AO,2020-11-07 01:09:35
34,Busselton,-33.65,115.33,75.0,37,0,9.13,AU,2020-11-07 01:04:28
35,Chuy,-33.7,-53.46,60.64,92,100,8.68,UY,2020-11-07 01:09:35
36,Faya,18.39,42.45,57.2,82,0,1.92,SA,2020-11-07 01:09:35
37,Key Largo,25.09,-80.45,79.0,69,100,17.0,US,2020-11-07 01:09:36
38,Kapaa,22.08,-159.32,82.4,74,75,12.75,US,2020-11-07 01:04:30
39,Torres,-29.34,-49.73,64.17,91,24,5.82,BR,2020-11-07 01:09:36
40,Atuona,-9.8,-139.03,78.39,75,90,14.99,PF,2020-11-07 01:04:35
41,Mataura,-46.19,168.86,52.27,77,99,9.48,NZ,2020-11-07 01:04:32
42,Cabo San Lucas,22.89,-109.91,80.6,74,20,5.82,MX,2020-11-07 01:04:44
43,Natal,-5.79,-35.21,80.6,78,40,10.29,BR,2020-11-07 01:09:36
44,Georgetown,5.41,100.34,80.6,88,20,4.85,MY,2020-11-07 01:04:29
45,Mahon,39.89,4.27,66.2,88,1,16.11,ES,2020-11-07 01:09:37
46,Porto Novo,6.5,2.6,82.4,83,40,12.75,BJ,2020-11-07 01:09:37
47,East London,-33.02,27.91,63.52,74,100,8.5,ZA,2020-11-07 01:04:47
48,Southbridge,42.08,-72.03,57.99,64,100,1.01,US,2020-11-07 01:09:16
49,Arraial Do Cabo,-22.97,-42.03,71.6,83,75,9.17,BR,2020-11-07 01:00:38
50,Novyy Urgal,51.07,132.56,22.55,89,100,2.62,RU,2020-11-07 01:09:37
51,Barrow,71.29,-156.79,10.4,85,75,9.17,US,2020-11-07 01:04:28
52,Chalus,36.66,51.42,62.6,88,75,2.24,IR,2020-11-07 01:09:38
53,Narsaq,60.92,-46.05,32.0,98,75,5.82,GL,2020-11-07 01:09:38
54,Port Elizabeth,-33.92,25.57,59.0,82,20,5.82,ZA,2020-11-07 01:04:55
55,Kattivakkam,13.22,80.32,77.0,94,75,3.36,IN,2020-11-07 01:09:38
56,San Francisco,37.77,-122.42,55.99,66,75,13.87,US,2020-11-07 01:05:26
57,Butaritari,3.07,172.79,81.3,75,100,14.25,KI,2020-11-07 01:04:29
58,Bredasdorp,-34.53,20.04,51.8,87,79,5.82,ZA,2020-11-07 01:04:50
59,Dunedin,-45.87,170.5,62.01,55,100,8.99,NZ,2020-11-07 01:09:22
60,Bengkulu,-3.8,102.27,80.92,71,6,3.18,ID,2020-11-07 01:00:52
61,Goure,13.98,10.27,73.99,27,0,8.01,NE,2020-11-07 01:09:39
62,Bonthe,7.53,-12.51,78.67,87,100,10.13,SL,2020-11-07 01:09:39
63,Mabaruma,8.2,-59.78,74.64,96,25,2.98,GY,2020-11-07 01:09:39
64,Bluff,-46.6,168.33,46.98,83,100,10.33,NZ,2020-11-07 01:04:46
65,Walvis Bay,-22.96,14.51,59.0,93,0,3.36,NA,2020-11-07 01:09:40
66,Coquimbo,-29.95,-71.34,55.4,87,0,6.93,CL,2020-11-07 01:03:46
67,Xinyu,27.8,114.93,66.49,69,5,4.34,CN,2020-11-07 01:09:40
68,Arlit,18.74,7.39,70.41,22,0,5.61,NE,2020-11-07 01:09:40
69,Ust-Nera,64.57,143.2,0.75,85,100,4.79,RU,2020-11-07 01:09:40
70,Baherden,38.44,57.43,64.29,24,100,3.69,TM,2020-11-07 01:09:41
71,Avarua,-21.21,-159.78,78.8,74,0,5.82,CK,2020-11-07 01:04:46
72,Mar Del Plata,-38.0,-57.56,63.0,88,20,6.93,AR,2020-11-07 01:06:33
73,Kaitangata,-46.28,169.85,53.01,74,18,15.99,NZ,2020-11-07 01:04:48
74,Kruisfontein,-34.0,24.73,57.0,91,100,1.01,ZA,2020-11-07 01:09:41
75,Puerto Ayora,-0.74,-90.35,68.0,78,0,4.0,EC,2020-11-07 01:04:31
76,Souillac,-20.52,57.52,68.0,94,40,2.24,MU,2020-11-07 01:04:49
77,Cherskiy,68.75,161.3,8.55,95,75,11.18,RU,2020-11-07 01:04:55
78,Los Llanos De Aridane,28.66,-17.92,68.0,64,20,6.93,ES,2020-11-07 01:04:39
79,San Patricio,28.02,-97.52,71.6,78,20,12.75,US,2020-11-07 01:04:30
80,Norman Wells,65.28,-126.83,6.8,92,90,2.24,CA,2020-11-07 01:08:17
81,Kavieng,-2.57,150.8,84.74,75,80,13.09,PG,2020-11-07 01:04:50
82,Ambilobe,-13.2,49.05,69.69,82,89,3.58,MG,2020-11-07 01:09:42
83,Santa Elena,-2.23,-80.85,69.44,81,100,10.87,EC,2020-11-07 01:09:42
84,Pangnirtung,66.15,-65.71,13.15,79,100,1.16,CA,2020-11-07 01:09:42
85,Nakhon Thai,17.1,100.84,77.0,83,75,4.7,TH,2020-11-07 01:09:43
86,Tuktoyaktuk,69.45,-133.04,14.0,85,75,20.8,CA,2020-11-07 01:09:43
87,Tasiilaq,65.61,-37.64,28.4,74,100,21.92,GL,2020-11-07 01:03:08
88,Medea,36.26,2.75,82.4,21,40,14.99,DZ,2020-11-07 01:09:43
89,Huarmey,-10.07,-78.15,61.92,85,0,5.46,PE,2020-11-07 01:09:43
90,Cape Town,-33.93,18.42,59.0,87,40,13.87,ZA,2020-11-07 00:59:55
91,New Norfolk,-42.78,147.06,57.99,45,99,3.0,AU,2020-11-07 01:04:53
92,Nhulunbuy,-12.23,136.77,91.4,55,40,5.82,AU,2020-11-07 01:09:44
93,Qaanaaq,77.48,-69.36,-6.27,78,95,8.23,GL,2020-11-07 01:04:38
94,Centerville,39.63,-84.16,59.0,54,1,3.36,US,2020-11-07 01:09:44
95,Kem,64.96,34.58,39.76,73,0,18.79,RU,2020-11-07 01:09:44
96,Khatanga,71.97,102.5,-5.35,90,0,6.93,RU,2020-11-07 01:00:15
97,Klaksvik,62.23,-6.59,44.6,87,100,9.17,FO,2020-11-07 01:04:50
98,Kieta,-6.22,155.63,82.35,72,100,1.66,PG,2020-11-07 01:09:44
99,Raahe,64.68,24.48,44.6,81,0,17.22,FI,2020-11-07 01:09:45
100,Mount Pleasant,32.79,-79.86,70.0,94,90,8.05,US,2020-11-07 01:09:45
101,Longyearbyen,78.22,15.64,33.8,86,75,10.29,SJ,2020-11-07 01:09:45
102,Laramie,41.31,-105.59,53.01,34,1,10.29,US,2020-11-07 01:05:24
103,Torbay,47.67,-52.73,53.01,87,90,21.92,CA,2020-11-07 01:09:45
104,Guarizama,14.92,-86.33,69.3,95,100,2.84,HN,2020-11-07 01:09:45
105,Haines Junction,60.75,-137.51,-0.4,77,0,1.12,CA,2020-11-07 01:09:45
106,Tateyama,34.98,139.87,70.0,82,75,19.46,JP,2020-11-07 01:09:46
107,Jamestown,42.1,-79.24,57.2,54,1,6.93,US,2020-11-07 01:04:12
108,Beloha,-25.17,45.05,65.66,77,20,1.7,MG,2020-11-07 01:07:09
109,Itapuranga,-15.56,-49.95,74.12,60,58,1.16,BR,2020-11-07 01:09:46
110,Airai,-8.93,125.41,77.56,33,0,6.46,TL,2020-11-07 01:04:31
111,Codrington,-38.27,141.97,54.64,62,96,12.97,AU,2020-11-07 01:05:32
112,Port Blair,11.67,92.75,82.11,79,0,8.97,IN,2020-11-07 01:01:28
113,Tiksi,71.69,128.87,-2.54,93,94,3.04,RU,2020-11-07 01:04:36
114,Carnarvon,-24.87,113.63,73.4,88,90,17.22,AU,2020-11-07 01:09:47
115,Grand-Lahou,5.14,-5.02,78.89,89,62,10.8,CI,2020-11-07 01:05:12
116,Pacific Grove,36.62,-121.92,57.2,58,40,11.41,US,2020-11-07 01:06:57
117,Pantai Remis,4.46,100.63,78.8,94,40,3.36,MY,2020-11-07 01:09:47
118,Saint Helens,53.45,-2.73,45.0,93,98,4.7,GB,2020-11-07 01:09:48
119,Ferrol,43.48,-8.24,57.0,100,0,1.12,ES,2020-11-07 01:09:48
120,Srednekolymsk,67.45,153.68,-0.02,93,100,7.09,RU,2020-11-07 01:09:48
121,Okhotsk,59.38,143.3,10.56,90,46,17.76,RU,2020-11-07 01:09:48
122,Batemans Bay,-35.72,150.18,64.0,56,31,1.99,AU,2020-11-07 01:09:48
123,Hasaki,35.73,140.83,59.0,76,75,1.12,JP,2020-11-07 01:04:33
124,Praia Da Vitoria,38.73,-27.07,57.2,100,75,25.59,PT,2020-11-07 01:08:18
125,Salto,-31.38,-57.97,66.52,70,0,9.13,UY,2020-11-07 01:09:26
126,Sept-Iles,50.2,-66.38,35.6,93,100,4.7,CA,2020-11-07 01:08:02
127,Goundam,16.41,-3.67,82.62,16,0,7.4,ML,2020-11-07 01:09:49
128,Nanortalik,60.14,-45.24,34.45,87,100,19.64,GL,2020-11-07 01:04:34
129,Gigmoto,13.78,124.39,81.77,84,100,11.54,PH,2020-11-07 01:09:49
130,Yulara,-25.24,130.99,80.6,10,0,14.99,AU,2020-11-07 01:05:46
131,Faanui,-16.48,-151.75,79.74,80,0,16.82,PF,2020-11-07 01:04:32
132,Sao Filipe,14.9,-24.5,78.39,79,100,5.41,CV,2020-11-07 01:09:50
133,Marand,38.43,45.77,48.2,93,90,4.7,IR,2020-11-07 01:09:50
134,Beringovskiy,63.05,179.32,29.16,88,18,21.72,RU,2020-11-07 01:09:50
135,Khislavichi,54.19,32.16,43.27,93,100,12.97,RU,2020-11-07 01:09:51
136,Broome,42.25,-75.83,60.8,44,1,6.93,US,2020-11-07 01:09:51
137,Zavodoukovsk,56.5,66.55,35.37,84,100,11.56,RU,2020-11-07 01:09:51
138,Kayes,14.0,-11.0,82.4,65,0,3.29,ML,2020-11-07 01:09:51
139,Tsabong,-26.02,22.4,74.14,25,0,2.13,BW,2020-11-07 01:09:51
140,Obo,5.4,26.49,70.59,91,100,1.45,CF,2020-11-07 01:09:51
141,Husavik,66.04,-17.34,37.4,55,90,16.11,IS,2020-11-07 01:00:18
142,Yunyang,33.45,112.71,64.04,28,0,2.82,CN,2020-11-07 01:09:52
143,Benghazi,32.12,20.07,67.35,71,59,12.77,LY,2020-11-07 01:04:30
144,Nevsehir,38.92,34.67,41.0,80,0,5.82,TR,2020-11-07 01:09:52
145,Tuatapere,-46.13,167.68,45.12,90,100,7.67,NZ,2020-11-07 01:09:52
146,Victoria,22.29,114.16,80.01,57,11,11.25,HK,2020-11-07 01:04:40
147,Upernavik,72.79,-56.15,-2.07,76,0,7.31,GL,2020-11-07 01:00:48
148,Bac Lieu,9.29,105.72,80.62,80,0,0.31,VN,2020-11-07 01:09:52
149,Yar-Sale,66.83,70.83,25.14,98,100,6.35,RU,2020-11-07 01:09:53
150,Batagay,67.63,134.63,-23.89,83,78,1.07,RU,2020-11-07 01:09:53
151,Sitka,57.05,-135.33,39.2,86,90,5.82,US,2020-11-07 01:01:03
152,Buritis,-15.62,-46.42,77.27,61,97,2.21,BR,2020-11-07 01:09:53
153,Lincoln,40.8,-96.67,68.0,52,1,14.99,US,2020-11-07 01:09:53
154,Moravska Trebova,49.76,16.66,34.0,61,70,1.01,CZ,2020-11-07 01:09:53
155,Nelson,-41.28,173.28,69.01,87,37,3.0,NZ,2020-11-07 01:09:54
156,Mitsamiouli,-11.38,43.28,78.24,74,0,10.11,KM,2020-11-07 01:09:54
157,Grindavik,63.84,-22.43,39.2,69,75,18.34,IS,2020-11-07 01:09:54
158,Mantua,45.17,10.78,48.0,93,0,1.99,IT,2020-11-07 01:09:54
159,Muros,42.78,-9.06,55.99,87,75,9.17,ES,2020-11-07 01:09:54
160,Taquarana,-9.64,-36.5,72.41,95,33,4.18,BR,2020-11-07 01:09:54
161,Luoyang,34.68,112.45,59.68,32,0,8.81,CN,2020-11-07 01:09:55
162,Cidreira,-30.18,-50.21,67.53,83,1,15.93,BR,2020-11-07 01:06:06
163,Anadyr,64.75,177.48,26.6,86,75,20.13,RU,2020-11-07 01:04:36
164,Marau,-28.45,-52.2,58.71,74,0,6.29,BR,2020-11-07 01:09:55
165,Mezen,65.85,44.24,35.78,95,100,8.52,RU,2020-11-07 01:09:55
166,Jalu,29.03,21.55,62.19,67,8,8.55,LY,2020-11-07 01:05:50
167,Fortuna,40.6,-124.16,52.0,81,75,8.05,US,2020-11-07 01:05:14
168,Severo-Kurilsk,50.68,156.12,36.46,78,67,5.95,RU,2020-11-07 01:05:14
169,Wucheng,29.6,118.17,66.0,79,0,3.11,CN,2020-11-07 01:09:56
170,Sal Rei,16.18,-22.92,78.8,74,20,9.17,CV,2020-11-07 01:09:56
171,Calamar,10.25,-74.91,82.4,88,40,3.36,CO,2020-11-07 01:09:56
172,Ahipara,-35.17,173.17,67.77,86,99,14.72,NZ,2020-11-07 01:05:17
173,Thompson,55.74,-97.86,14.0,92,90,4.03,CA,2020-11-07 01:04:46
174,Douglas,41.3,-96.17,68.0,56,1,16.11,US,2020-11-07 01:09:57
175,Ulagan,50.63,87.96,29.21,90,93,1.05,RU,2020-11-07 01:09:57
176,Karratha,-20.74,116.85,88.34,22,0,14.58,AU,2020-11-07 01:05:49
177,Itarema,-2.92,-39.92,80.2,78,100,14.79,BR,2020-11-07 01:09:57
178,Kaabong,3.48,34.15,66.18,80,96,9.98,UG,2020-11-07 01:09:57
179,Esperance,-33.87,121.9,55.4,87,90,9.17,AU,2020-11-07 01:09:57
180,Lagos,6.58,3.75,77.2,94,5,3.83,NG,2020-11-07 01:07:13
181,Viedma,-40.81,-63.0,52.0,86,0,10.16,AR,2020-11-07 01:09:58
182,Tecpan,14.76,-90.99,69.8,77,40,9.17,GT,2020-11-07 01:09:58
183,Napasar,27.97,73.55,66.6,26,16,4.29,IN,2020-11-07 01:09:58
184,Lianzhou,24.78,112.38,66.22,60,0,6.51,CN,2020-11-07 01:09:58
185,Adrar,20.5,-10.07,80.38,31,51,10.47,MR,2020-11-07 01:05:29
186,Calapi,11.94,125.02,74.77,96,100,0.96,PH,2020-11-07 01:09:58
187,Khani,41.96,42.96,53.6,87,90,4.7,GE,2020-11-07 01:04:53
188,Marawi,8.0,124.29,80.01,88,100,1.01,PH,2020-11-07 01:09:59
189,Brae,60.4,-1.35,51.8,93,76,8.05,GB,2020-11-07 01:09:59
190,Helong,42.54,129.0,47.48,52,0,10.58,CN,2020-11-07 01:09:59
191,Alofi,-19.06,-169.92,80.6,57,40,11.41,NU,2020-11-07 01:09:59
192,Eureka,40.8,-124.16,51.01,41,61,8.01,US,2020-11-07 01:05:38
193,Maceio,-9.67,-35.74,75.2,94,75,6.93,BR,2020-11-07 01:09:59
194,Nyurba,63.28,118.33,-4.32,90,99,4.9,RU,2020-11-07 01:05:20
195,Shitanjing,39.23,106.34,38.52,63,0,8.93,CN,2020-11-07 01:05:09
196,Lorengau,-2.02,147.27,85.32,72,100,11.23,PG,2020-11-07 01:10:00
197,Ponta Do Sol,32.67,-17.1,63.0,72,0,2.24,PT,2020-11-07 01:04:47
198,Poum,-20.23,164.02,78.13,73,0,8.52,NC,2020-11-07 01:04:51
199,Sisimiut,66.94,-53.67,13.33,83,100,10.78,GL,2020-11-07 01:10:00
200,Vardo,70.37,31.11,41.2,72,28,24.76,NO,2020-11-07 01:10:00
201,Leningradskiy,69.38,178.42,27.99,98,100,8.86,RU,2020-11-07 01:04:52
202,Ilo,-17.64,-71.34,62.98,76,66,2.42,PE,2020-11-07 01:10:01
203,Port Hedland,-20.32,118.57,95.0,26,0,12.75,AU,2020-11-07 01:10:01
204,Dawson Creek,55.77,-120.24,14.0,85,1,5.82,CA,2020-11-07 01:10:01
205,Port Arthur,38.8,121.27,60.8,55,0,11.18,CN,2020-11-07 01:10:01
206,Kishtwar,33.32,75.77,41.7,51,0,5.1,IN,2020-11-07 01:10:01
207,Yellowknife,62.46,-114.35,9.0,84,75,2.24,CA,2020-11-07 01:00:55
208,Raudeberg,61.99,5.14,48.99,90,100,28.95,NO,2020-11-07 01:05:38
209,Port-Gentil,-0.72,8.78,76.64,92,100,8.97,GA,2020-11-07 01:10:02
210,Makakilo City,21.35,-158.09,84.2,69,90,5.82,US,2020-11-07 01:08:40
211,Constitucion,-35.33,-72.42,54.82,75,0,12.93,CL,2020-11-07 01:10:02
212,Nome,64.5,-165.41,39.99,86,90,21.92,US,2020-11-07 01:05:27
213,Sola,-13.88,167.55,86.0,79,75,4.7,VU,2020-11-07 01:10:03
214,Kirensk,57.79,108.11,2.14,92,67,4.9,RU,2020-11-07 01:10:03
215,Zhigansk,66.77,123.37,-13.63,89,76,4.38,RU,2020-11-07 01:04:32
216,Saint George,37.1,-113.58,79.0,14,1,14.99,US,2020-11-07 01:07:20
217,Punta Cardon,11.66,-70.22,82.17,80,25,17.45,VE,2020-11-07 01:10:03
218,Kalmunai,7.42,81.82,79.5,81,24,3.98,LK,2020-11-07 01:10:04
219,Oktyabrskoye,43.06,44.74,41.0,100,100,4.47,RU,2020-11-07 01:10:04
220,Qasigiannguit,68.82,-51.19,12.2,51,100,20.8,GL,2020-11-07 01:10:04
221,Saint-Augustin,51.23,-58.65,36.12,93,76,4.65,CA,2020-11-07 01:10:04
222,Olafsvik,64.89,-23.71,37.49,77,75,21.81,IS,2020-11-07 01:04:55
223,Lisakovsk,52.54,62.49,39.92,67,100,12.17,KZ,2020-11-07 01:10:05
224,Saint-Francois,46.42,3.91,51.01,100,0,6.93,FR,2020-11-07 01:10:05
225,Kushima,31.46,131.23,68.0,82,75,1.12,JP,2020-11-07 01:10:05
226,Grand-Santi,4.25,-54.38,73.81,95,100,2.91,GF,2020-11-07 01:10:05
227,Vila Franca Do Campo,37.72,-25.43,64.4,68,75,14.99,PT,2020-11-07 01:05:23
228,Deputatskiy,69.3,139.9,-9.18,93,30,1.68,RU,2020-11-07 01:10:06
229,Jining,35.41,116.58,57.0,1,0,7.99,CN,2020-11-07 01:10:06
230,Saskylakh,71.92,114.08,-2.49,92,83,1.59,RU,2020-11-07 01:04:33
231,Mana,5.66,-53.78,78.75,85,98,9.22,GF,2020-11-07 01:10:06
232,Necochea,-38.55,-58.74,62.01,74,99,1.99,AR,2020-11-07 01:10:06
233,Celestun,20.87,-90.4,78.39,83,80,14.58,MX,2020-11-07 01:10:07
234,Tual,-5.67,132.75,82.78,74,78,12.48,ID,2020-11-07 01:10:07
235,Balsas,-7.53,-46.04,72.37,94,100,2.35,BR,2020-11-07 01:10:07
236,Singleton,-32.57,151.18,69.8,60,75,5.82,AU,2020-11-07 01:10:07
237,Nikolskoye,59.7,30.79,50.0,76,0,26.84,RU,2020-11-07 01:10:07
238,Geraldton,-28.77,114.6,75.2,50,0,5.82,AU,2020-11-07 01:10:08
239,Evreux,49.02,1.15,42.8,93,100,4.7,FR,2020-11-07 01:10:08
240,Rylsk,51.57,34.68,40.75,90,0,11.1,RU,2020-11-07 01:10:08
241,Inhambane,-23.86,35.38,77.67,70,0,11.92,MZ,2020-11-07 01:05:22
242,Ostrovnoy,68.05,39.51,35.78,92,100,11.12,RU,2020-11-07 01:10:08
243,Leh,34.17,77.58,24.31,69,0,3.83,IN,2020-11-07 01:10:09
244,Juneau,58.3,-134.42,30.0,86,90,4.7,US,2020-11-07 01:05:41
245,Alice Springs,-23.7,133.88,75.2,12,42,14.99,AU,2020-11-07 01:04:01
246,Hofn,64.25,-15.21,36.01,76,0,11.95,IS,2020-11-07 01:05:39
247,Talara,-4.58,-81.27,63.82,85,52,11.99,PE,2020-11-07 01:10:09
248,Tura,25.52,90.22,63.27,92,0,3.83,IN,2020-11-07 01:10:09
249,Union,40.63,-74.27,62.6,55,1,3.36,US,2020-11-07 01:10:09
250,Meulaboh,4.14,96.13,76.39,90,100,6.17,ID,2020-11-07 01:10:10
251,Callaguip,18.07,120.49,78.8,83,20,3.36,PH,2020-11-07 01:10:10
252,Polikhronon,40.02,23.53,54.0,75,15,6.67,GR,2020-11-07 01:10:10
253,Kolondieba,11.09,-6.89,79.11,38,100,3.0,ML,2020-11-07 01:10:10
254,Parsabad,39.65,47.92,59.0,100,90,2.24,IR,2020-11-07 01:10:11
255,Ontario,34.06,-117.65,68.0,64,40,17.22,US,2020-11-07 01:06:30
256,Praia,14.92,-23.51,77.0,83,0,8.05,CV,2020-11-07 01:10:11
257,Oranjestad,12.52,-70.03,82.4,78,20,9.17,AW,2020-11-07 01:10:11
258,Divnomorskoye,44.5,38.14,49.19,74,100,9.57,RU,2020-11-07 01:10:11
259,Lunglei,22.88,92.73,62.28,91,0,2.64,IN,2020-11-07 01:10:12
260,Bathsheba,13.22,-59.52,80.6,83,40,17.22,BB,2020-11-07 01:10:12
261,Buta,2.79,24.73,70.21,98,100,2.01,CD,2020-11-07 01:10:12
262,Isla Mujeres,21.23,-86.73,77.0,100,90,2.24,MX,2020-11-07 01:10:12
263,Naze,28.37,129.48,80.6,88,20,10.29,JP,2020-11-07 01:10:12
264,Garden City,42.33,-83.33,62.6,62,40,8.05,US,2020-11-07 01:10:13
265,Esfarayen,37.08,57.51,50.0,23,0,2.24,IR,2020-11-07 01:10:13
266,San Andres,12.58,-81.7,77.0,94,40,1.61,CO,2020-11-07 01:10:13
267,Matara,5.95,80.54,76.73,88,84,8.01,LK,2020-11-07 01:06:15
268,Yerofey Pavlovich,53.97,121.97,20.44,93,100,2.91,RU,2020-11-07 01:10:13
269,Pilar,-9.6,-35.96,75.2,94,75,6.93,BR,2020-11-07 01:10:13
270,Kurchum,48.57,83.65,32.45,85,92,2.57,KZ,2020-11-07 01:10:13
271,Iwanai,42.97,140.51,58.05,71,0,10.49,JP,2020-11-07 01:10:14
272,Flinders,-34.58,150.86,63.0,55,90,14.99,AU,2020-11-07 01:10:14
273,Karatau,43.17,70.47,41.47,58,0,4.94,KZ,2020-11-07 01:10:14
274,Umm Lajj,25.02,37.27,72.45,69,7,8.75,SA,2020-11-07 01:10:14
275,Dikson,73.51,80.55,-0.35,89,0,4.92,RU,2020-11-07 01:04:54
276,Camacha,33.08,-16.33,66.2,63,40,6.93,PT,2020-11-07 01:10:14
277,Roald,62.58,6.13,51.8,76,100,23.04,NO,2020-11-07 01:10:15
278,North Platte,41.12,-100.77,73.4,20,1,5.82,US,2020-11-07 01:10:15
279,Socorro,31.65,-106.3,80.6,12,40,8.05,US,2020-11-07 01:10:15
