,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,San Carlos Del Zulia,9.0,-71.91,77.29,89,0,4.83,VE,2020-11-07 01:10:15
281,Turinsk,58.05,63.7,38.25,93,100,6.85,RU,2020-11-07 01:10:15
282,Planaltina,-15.45,-47.61,71.6,73,75,4.7,BR,2020-11-07 01:05:22
283,Bethel,41.37,-73.41,55.0,76,1,5.88,US,2020-11-07 01:10:16
284,Kirakira,-10.45,161.92,83.01,75,87,6.15,SB,2020-11-07 01:10:16
285,Bournemouth,50.72,-1.88,48.0,93,1,3.0,GB,2020-11-07 01:10:16
286,Turayf,31.67,38.66,53.6,81,0,8.05,SA,2020-11-07 01:10:16
287,Ha Tinh,18.33,105.9,73.13,87,100,8.61,VN,2020-11-07 01:10:16
288,Mazatlan,23.22,-106.42,82.4,74,5,8.05,MX,2020-11-07 01:10:16
289,West Plains,36.73,-91.85,60.8,51,1,3.36,US,2020-11-07 01:10:17
290,Alyangula,-13.85,136.42,87.8,62,40,9.17,AU,2020-11-07 01:10:17
291,Libreville,0.39,9.45,80.6,88,40,6.93,GA,2020-11-07 01:09:31
292,Dogondoutchi,13.64,4.03,79.61,22,0,6.67,NE,2020-11-07 01:08:07
293,Maragogi,-9.01,-35.22,77.63,86,91,9.89,BR,2020-11-07 01:10:17
294,Kununurra,-15.77,128.73,82.4,69,75,6.93,AU,2020-11-07 01:10:18
295,Erzin,36.96,36.2,62.01,59,0,4.0,TR,2020-11-07 01:10:18
296,Henties Bay,-22.12,14.28,59.0,91,0,1.01,NA,2020-11-07 01:10:18
297,Coffs Harbour,-30.3,153.13,71.01,56,7,11.41,AU,2020-11-07 01:10:18
298,Bahia Blanca,-38.72,-62.27,62.6,55,10,8.08,AR,2020-11-07 01:10:18
299,Cockburn Town,21.46,-71.14,80.98,77,100,21.99,TC,2020-11-07 01:00:50
300,Camopi,3.17,-52.32,73.81,96,100,3.02,GF,2020-11-07 01:10:19
301,Katsuura,35.13,140.3,70.0,67,75,6.93,JP,2020-11-07 01:04:50
302,Taormina,37.85,15.29,63.0,91,29,3.62,IT,2020-11-07 01:10:19
303,Ushirombo,-3.49,31.96,68.09,86,100,0.69,TZ,2020-11-07 01:10:19
304,Ust-Omchug,61.15,149.63,4.26,90,100,8.72,RU,2020-11-07 01:05:42
305,Namibe,-15.2,12.15,71.6,59,78,9.33,AO,2020-11-07 01:10:19
306,Voyvozh,62.89,54.96,31.78,99,91,4.0,RU,2020-11-07 01:10:20
307,Minbu,20.18,94.88,75.49,85,0,6.06,MM,2020-11-07 01:10:20
308,Havelock,34.88,-76.9,66.0,95,70,5.82,US,2020-11-07 01:08:44
309,Akyab,20.15,92.9,72.27,76,0,5.91,MM,2020-11-07 01:10:20
310,Margate,51.38,1.39,51.01,71,0,4.0,GB,2020-11-07 01:10:20
311,Cayenne,4.93,-52.33,75.2,100,0,2.24,GF,2020-11-07 01:10:20
312,Port Lincoln,-34.73,135.87,60.1,64,24,15.61,AU,2020-11-07 01:10:21
313,Tefe,-3.35,-64.71,74.52,94,100,1.45,BR,2020-11-07 01:10:21
314,Cabedelo,-6.98,-34.83,78.8,83,75,9.17,BR,2020-11-07 01:10:21
315,Kloulklubed,7.04,134.26,84.2,79,90,4.7,PW,2020-11-07 01:10:21
316,Parana,-31.73,-60.52,70.0,61,0,10.27,AR,2020-11-07 01:08:14
317,La Ronge,55.1,-105.28,19.4,79,100,9.17,CA,2020-11-07 01:10:21
318,Lata,40.16,-8.33,57.99,90,39,4.27,PT,2020-11-07 01:04:48
319,Iracoubo,5.48,-53.2,79.16,83,100,9.35,GF,2020-11-07 01:10:22
320,Ancud,-41.87,-73.82,51.01,76,100,6.93,CL,2020-11-07 01:04:54
321,Jucas,-6.53,-39.53,83.28,45,1,4.97,BR,2020-11-07 01:10:22
322,Talnakh,69.49,88.4,10.4,66,40,15.66,RU,2020-11-07 01:10:22
323,Kribi,2.95,9.92,77.52,90,9,5.28,CM,2020-11-07 01:10:23
324,Russell,32.35,-85.2,69.8,68,1,4.7,US,2020-11-07 01:10:23
325,Pisco,-13.7,-76.22,64.4,82,90,14.99,PE,2020-11-07 01:04:31
326,Frunze,48.67,38.75,44.98,77,29,11.61,UA,2020-11-07 01:10:23
327,Fairbanks,64.84,-147.72,28.99,92,90,10.49,US,2020-11-07 01:02:41
328,Kot Samaba,28.55,70.47,64.74,28,0,4.83,PK,2020-11-07 01:10:23
329,Sabha,27.04,14.43,59.68,66,100,8.95,LY,2020-11-07 01:10:23
330,Sao Bernardo,-3.36,-42.42,78.6,77,57,4.63,BR,2020-11-07 01:10:24
331,North Bend,43.41,-124.22,51.8,76,20,12.75,US,2020-11-07 01:10:24
332,Aksu,41.12,80.26,33.55,75,0,0.2,CN,2020-11-07 01:04:32
333,Saldanha,-33.01,17.94,57.2,93,8,5.82,ZA,2020-11-07 01:04:38
334,Mujiayingzi,42.12,118.78,41.2,56,0,17.54,CN,2020-11-07 01:10:24
335,Rio Gallegos,-51.62,-69.22,50.0,61,0,21.92,AR,2020-11-07 01:10:04
336,Guerrero Negro,27.98,-114.06,69.21,79,0,15.03,MX,2020-11-07 01:04:45
337,Chumikan,54.72,135.31,16.18,92,7,13.29,RU,2020-11-07 01:10:25
338,Sami,13.58,-15.2,83.84,55,45,9.28,GM,2020-11-07 01:10:25
339,Morgan City,29.7,-91.21,69.01,77,1,6.78,US,2020-11-07 01:10:25
340,Zyryanka,65.75,150.85,4.28,93,100,18.12,RU,2020-11-07 01:10:25
341,Nalut,30.33,10.85,57.04,68,84,10.31,LY,2020-11-07 01:02:12
342,Boyolangu,-8.12,111.89,81.25,75,53,6.15,ID,2020-11-07 01:10:26
343,Arrecife,28.96,-13.55,62.6,77,20,4.7,ES,2020-11-07 01:10:26
344,Saint-Pierre,-21.34,55.48,68.0,68,0,6.93,RE,2020-11-07 01:04:56
345,Rovaniemi,66.5,25.72,37.4,74,0,12.75,FI,2020-11-07 01:10:26
346,Iqaluit,63.75,-68.51,1.4,70,75,23.04,CA,2020-11-07 01:10:26
347,Rio Grande,-32.03,-52.1,66.0,86,9,1.99,BR,2020-11-07 01:10:26
348,Tuy Hoa,13.08,109.3,78.22,88,52,9.31,VN,2020-11-07 01:09:34
349,Kavaratti,10.57,72.64,82.53,76,20,7.49,IN,2020-11-07 01:05:42
350,Hithadhoo,-0.6,73.08,83.32,69,40,3.49,MV,2020-11-07 01:04:44
351,Kolokani,13.57,-8.03,84.42,22,75,9.06,ML,2020-11-07 01:10:27
352,Sakaiminato,35.55,133.23,60.8,93,75,2.24,JP,2020-11-07 01:10:27
353,Kathmandu,27.72,85.32,51.8,100,40,2.24,NP,2020-11-07 01:10:07
354,Ust-Kuyga,70.02,135.6,-24.32,85,95,5.06,RU,2020-11-07 01:10:27
355,Bambanglipuro,-7.95,110.28,82.71,74,33,7.43,ID,2020-11-07 01:10:27
356,Hanyang,32.14,105.51,59.0,74,75,2.93,CN,2020-11-07 01:10:28
357,Palmer,42.16,-72.33,59.0,62,20,5.3,US,2020-11-07 01:05:50
358,Sakakah,29.97,40.21,60.8,55,0,5.82,SA,2020-11-07 01:10:28
359,Lompoc,34.64,-120.46,59.0,58,1,24.16,US,2020-11-07 01:09:49
360,Kazerun,29.62,51.65,55.42,46,0,4.14,IR,2020-11-07 01:10:28
361,Christchurch,-43.53,172.63,64.99,72,100,4.7,NZ,2020-11-07 01:07:46
362,Coihueco,-36.62,-71.83,66.2,55,0,3.36,CL,2020-11-07 01:10:19
363,Lumberton,34.62,-79.01,66.99,93,1,5.73,US,2020-11-07 01:10:29
364,Fergus Falls,46.28,-96.08,62.01,44,1,10.29,US,2020-11-07 01:10:29
365,Bullhead City,35.15,-114.57,86.0,16,90,24.16,US,2020-11-07 01:10:29
366,Lakewood,39.7,-105.08,62.01,29,100,2.04,US,2020-11-07 01:06:38
367,Akonolinga,3.77,12.25,67.91,97,71,1.88,CM,2020-11-07 01:10:29
368,Pevek,69.7,170.31,20.37,95,100,14.23,RU,2020-11-07 01:10:29
369,Riyadh,24.69,46.72,64.4,36,0,3.36,SA,2020-11-07 01:03:13
370,Atambua,-9.11,124.89,87.31,40,1,2.82,ID,2020-11-07 01:10:30
371,Sorland,67.67,12.69,46.42,89,100,28.05,NO,2020-11-07 01:10:30
372,Mount Gambier,-37.83,140.77,57.2,62,90,14.99,AU,2020-11-07 01:10:30
373,Nivala,63.92,24.97,45.0,75,7,10.0,FI,2020-11-07 01:10:30
374,Kostomuksha,64.57,30.58,37.81,80,0,12.1,RU,2020-11-07 01:10:30
375,Kenai,60.55,-151.26,25.0,85,90,10.29,US,2020-11-07 01:10:30
376,Sturgeon Bay,44.83,-87.38,62.6,76,1,6.93,US,2020-11-07 01:10:31
377,Fenoarivo,-18.93,47.44,64.4,88,75,8.05,MG,2020-11-07 01:10:31
378,Prabumulih,-3.45,104.25,78.85,83,100,3.09,ID,2020-11-07 01:10:31
379,Auki,-8.77,160.7,84.09,73,77,1.41,SB,2020-11-07 01:10:31
380,Ixtapa,20.7,-105.2,80.6,78,5,4.7,MX,2020-11-07 01:04:39
381,Benjamin Constant,-4.38,-70.03,77.54,83,95,2.06,BR,2020-11-07 01:10:31
382,Ponta Delgada,37.73,-25.67,64.4,68,75,14.99,PT,2020-11-07 01:05:47
383,Komsomolskiy,40.43,71.72,37.4,32,72,4.7,UZ,2020-11-07 01:10:32
384,Havre-Saint-Pierre,50.23,-63.6,33.8,100,90,11.41,CA,2020-11-07 01:04:52
385,Vao,-22.67,167.48,75.33,77,0,11.56,NC,2020-11-07 01:10:32
386,Bay Roberts,47.6,-53.26,51.8,87,90,21.92,CA,2020-11-07 01:10:32
387,Xuddur,4.12,43.89,72.46,87,100,11.14,SO,2020-11-07 01:10:32
388,Huanuco,-9.93,-76.24,63.52,65,46,3.04,PE,2020-11-07 01:10:32
389,Ketchikan,55.34,-131.65,39.2,69,90,5.82,US,2020-11-07 01:03:20
390,Ballina,-28.87,153.57,77.0,60,95,13.87,AU,2020-11-07 01:04:43
391,Batagay-Alyta,67.8,130.41,-14.82,84,0,1.39,RU,2020-11-07 01:10:33
392,Tautira,-17.73,-149.15,86.0,58,75,8.05,PF,2020-11-07 01:04:41
393,Quatre Cocos,-20.21,57.76,69.01,94,40,2.24,MU,2020-11-07 01:10:33
394,Santa Maria,-29.68,-53.81,69.8,68,0,14.99,BR,2020-11-07 01:04:40
395,Upata,8.01,-62.4,82.0,85,1,1.01,VE,2020-11-07 01:04:30
396,Laguna,38.42,-121.42,60.8,36,40,8.05,US,2020-11-07 01:10:34
397,Huilong,31.81,121.66,69.01,66,83,7.67,CN,2020-11-07 01:10:34
398,Chokurdakh,70.63,147.92,-0.27,94,100,7.38,RU,2020-11-07 01:04:29
399,Kijang,35.24,129.21,59.0,72,0,4.7,KR,2020-11-07 01:10:34
400,Sao Paulo De Olivenca,-3.38,-68.87,76.68,88,100,1.21,BR,2020-11-07 01:10:34
401,Saint Anthony,45.02,-93.22,68.0,40,1,11.41,US,2020-11-07 01:10:34
402,Naziya,59.8,31.38,46.0,75,60,15.86,RU,2020-11-07 01:10:34
403,Bayir,37.27,28.22,57.2,62,0,5.82,TR,2020-11-07 01:10:35
404,Araouane,18.9,-3.53,83.16,15,57,9.19,ML,2020-11-07 01:10:35
405,Nador,35.17,-2.93,69.8,72,0,13.87,MA,2020-11-07 01:10:35
406,Taoudenni,22.68,-3.98,80.2,18,95,8.03,ML,2020-11-07 01:10:35
407,Takoradi,4.88,-1.76,78.53,90,100,9.73,GH,2020-11-07 01:10:35
408,Bierbeek,50.83,4.76,37.4,83,0,5.82,BE,2020-11-07 01:10:35
409,Omboue,-1.57,9.26,75.58,94,100,3.0,GA,2020-11-07 01:10:36
410,Moose Factory,51.26,-80.61,33.8,97,90,3.36,CA,2020-11-07 01:10:36
411,Staraya Kulatka,52.72,47.62,39.06,79,77,10.63,RU,2020-11-07 01:10:36
412,Kelamangalam,12.6,77.85,69.8,100,40,2.24,IN,2020-11-07 01:10:36
413,Portree,57.41,-6.19,45.0,94,65,1.99,GB,2020-11-07 01:10:36
414,Galle,6.04,80.22,77.31,85,98,5.35,LK,2020-11-07 01:10:36
415,Sugar Hill,34.11,-84.03,63.0,86,87,7.02,US,2020-11-07 01:10:36
416,Lismore,-28.81,153.28,75.99,46,99,5.82,AU,2020-11-07 01:07:01
417,Castro,-24.79,-50.01,54.55,91,0,8.25,BR,2020-11-07 01:04:44
418,Corbelia,-24.8,-53.31,67.21,49,0,0.78,BR,2020-11-07 01:10:37
419,Oktyabrskiy,54.48,53.47,39.22,86,79,6.96,RU,2020-11-07 01:10:37
420,Ottawa,45.41,-75.7,57.2,67,40,12.75,CA,2020-11-07 01:07:41
421,West Bay,19.37,-81.42,78.8,88,90,11.41,KY,2020-11-07 01:10:37
422,Kahului,20.89,-156.47,89.6,46,40,18.34,US,2020-11-07 01:00:04
423,Isangel,-19.55,169.27,86.0,74,75,5.82,VU,2020-11-07 01:10:38
424,Freeport,40.66,-73.58,60.01,87,1,4.7,US,2020-11-07 01:10:38
425,Khash,28.22,61.22,45.03,57,0,1.23,IR,2020-11-07 01:10:38
426,Pangkalanbuun,-2.68,111.62,81.7,75,67,2.57,ID,2020-11-07 01:10:38
427,Rincon,32.3,-81.24,71.6,83,90,9.17,US,2020-11-07 01:10:38
428,Samana,19.21,-69.34,75.4,86,96,4.27,DO,2020-11-07 01:10:38
429,Aswan,24.09,32.91,63.25,56,0,8.46,EG,2020-11-07 01:10:39
430,Mvuma,-19.28,30.53,68.47,62,0,4.52,ZW,2020-11-07 01:10:39
431,Varzea Grande,-15.65,-56.13,91.4,36,0,2.24,BR,2020-11-07 01:10:39
432,Balikpapan,-1.27,116.83,84.2,70,20,2.24,ID,2020-11-07 01:07:51
433,Lavrentiya,65.58,-171.0,35.47,84,32,26.8,RU,2020-11-07 01:10:39
434,Comodoro Rivadavia,-45.87,-67.5,50.0,76,0,8.05,AR,2020-11-07 01:10:39
435,Preobrazhenka,47.57,35.82,44.6,87,0,8.95,UA,2020-11-07 01:10:40
436,Hobyo,5.35,48.53,79.75,79,27,6.33,SO,2020-11-07 01:10:40
437,Sibut,5.72,19.07,72.3,90,99,2.46,CF,2020-11-07 01:10:40
438,Waitati,-45.75,170.57,62.01,55,100,8.99,NZ,2020-11-07 01:10:40
439,Mareeba,-17.0,145.43,88.0,55,0,6.93,AU,2020-11-07 01:10:40
440,Nouadhibou,20.93,-17.03,71.6,64,0,16.11,MR,2020-11-07 01:10:40
441,Antofagasta,-23.65,-70.4,60.8,77,90,10.29,CL,2020-11-07 01:08:13
442,Nyakahanga,-1.6,31.14,59.14,100,98,0.63,TZ,2020-11-07 01:10:41
443,Jieshi,22.81,115.83,78.01,57,100,1.99,CN,2020-11-07 01:10:41
444,Agbor,6.25,6.19,74.25,98,55,3.42,NG,2020-11-07 01:10:41
445,Yerbogachen,61.28,108.01,-9.87,89,78,4.38,RU,2020-11-07 01:10:41
446,Marzuq,14.4,46.47,59.88,51,0,2.28,YE,2020-11-07 01:10:42
447,Dutse,11.76,9.34,68.7,25,42,6.98,NG,2020-11-07 01:08:08
448,Vilyuysk,63.76,121.62,-6.63,90,100,4.18,RU,2020-11-07 01:10:42
449,Xunchang,28.45,104.72,60.67,69,1,2.44,CN,2020-11-07 01:10:42
450,Maniitsoq,65.42,-52.9,22.8,73,100,4.47,GL,2020-11-07 01:10:42
451,Bilibino,68.05,166.44,10.36,90,100,8.66,RU,2020-11-07 01:10:42
452,San Matias,-16.37,-58.4,83.28,24,3,3.6,BO,2020-11-07 01:10:43
453,Charlestown,-32.95,151.67,69.8,60,75,5.82,AU,2020-11-07 01:10:43
454,Ilulissat,69.22,-51.1,12.2,51,100,20.8,GL,2020-11-07 01:04:53
455,Sabang,5.89,95.32,81.55,75,100,3.31,ID,2020-11-07 01:10:43
456,Opuwo,-18.06,13.84,64.17,27,16,3.18,NA,2020-11-07 01:10:43
457,Kutum,14.2,24.67,61.75,32,0,7.23,SD,2020-11-07 01:10:43
458,Huambo,-12.78,15.74,62.38,78,98,1.57,AO,2020-11-07 01:10:43
459,Trenggalek,-8.05,111.72,80.35,76,67,4.61,ID,2020-11-07 01:10:43
460,Amazar,53.86,120.88,21.18,90,100,5.84,RU,2020-11-07 01:10:44
461,Pipri,19.8,75.53,59.0,82,0,4.5,IN,2020-11-07 01:10:44
462,Tazovskiy,67.47,78.7,16.34,98,100,9.01,RU,2020-11-07 01:10:44
463,Masallatah,32.62,14.0,65.07,74,0,7.74,LY,2020-11-07 01:10:44
464,Acarau,-2.89,-40.12,79.95,79,67,15.55,BR,2020-11-07 01:10:45
465,Cruzeiro Do Sul,-29.51,-51.99,66.0,81,0,3.29,BR,2020-11-07 01:10:45
466,Buraydah,26.33,43.98,69.8,30,0,6.93,SA,2020-11-07 01:10:45
467,Ajdabiya,30.76,20.23,63.43,73,0,7.83,LY,2020-11-07 01:10:45
468,Nizhniy Kuranakh,58.84,125.49,9.82,93,99,2.26,RU,2020-11-07 01:10:45
469,Tsumeb,-19.23,17.72,76.14,18,0,15.19,NA,2020-11-07 01:10:46
470,Kars,40.6,43.09,39.2,80,40,5.82,TR,2020-11-07 01:10:46
471,Beli Manastir,45.77,18.6,39.0,100,0,3.36,HR,2020-11-07 01:10:46
472,Chenghai,23.46,116.77,77.0,53,75,6.71,CN,2020-11-07 01:10:46
473,Pimentel,-6.84,-79.93,64.4,72,0,12.75,PE,2020-11-07 01:10:46
474,Acapulco,16.86,-99.89,84.2,74,75,9.17,MX,2020-11-07 01:10:46
475,Te Anau,-45.42,167.72,56.17,57,99,5.99,NZ,2020-11-07 01:10:47
476,Coihaique,-45.58,-72.07,53.6,54,0,5.82,CL,2020-11-07 01:05:51
477,Waingapu,-9.66,120.26,86.95,52,16,4.07,ID,2020-11-07 01:10:47
478,Swellendam,-34.02,20.44,51.8,87,91,5.82,ZA,2020-11-07 01:10:47
479,Tutoia,-2.76,-42.27,81.27,78,98,13.56,BR,2020-11-07 01:10:47
480,Ilam,26.92,87.92,53.42,81,0,4.65,NP,2020-11-07 01:10:47
481,Porto Velho,-8.76,-63.9,82.4,78,20,2.24,BR,2020-11-07 01:08:04
482,Lagoa,39.05,-27.98,58.46,69,77,30.65,PT,2020-11-07 01:10:48
483,Verkhnevilyuysk,63.45,120.32,-3.91,90,100,5.57,RU,2020-11-07 01:10:48
484,Grand Gaube,-20.01,57.66,69.01,78,0,5.01,MU,2020-11-07 01:10:48
485,Atar,20.52,-13.05,83.93,22,100,2.08,MR,2020-11-07 01:05:51
486,Preobrazheniye,42.9,133.91,53.31,63,49,9.89,RU,2020-11-07 01:10:48
487,Dakar,14.69,-17.44,80.6,83,0,4.7,SN,2020-11-07 01:10:48
488,Kidal,18.44,1.41,71.85,21,0,12.5,ML,2020-11-07 01:10:49
489,Soe,-9.86,124.28,85.51,36,0,7.67,ID,2020-11-07 01:10:49
490,Kamyzyak,46.11,48.07,44.6,81,75,13.42,RU,2020-11-07 01:10:49
491,Bacolod,10.67,122.95,82.56,79,100,10.0,PH,2020-11-07 01:10:30
492,Kishi,9.08,3.85,73.89,41,2,3.85,NG,2020-11-07 01:10:50
493,Kingsland,30.8,-81.69,71.01,92,100,5.1,US,2020-11-07 01:10:22
494,Pavlovka,52.69,47.14,39.72,89,47,4.7,RU,2020-11-07 01:10:50
495,Provideniya,64.38,-173.3,34.93,85,9,25.77,RU,2020-11-07 01:04:37
496,Vila Velha,-20.33,-40.29,73.4,88,90,9.17,BR,2020-11-07 01:07:07
497,Baiyin,36.56,104.21,39.99,58,0,4.47,CN,2020-11-07 01:10:50
498,Mahebourg,-20.41,57.7,68.0,94,40,2.24,MU,2020-11-07 01:10:51
499,Douentza,15.0,-2.95,77.76,18,0,4.38,ML,2020-11-07 01:10:51
500,Pelotas,-31.77,-52.34,66.0,86,87,1.99,BR,2020-11-07 01:09:37
501,Kirkwall,58.98,-2.96,44.6,93,100,1.12,GB,2020-11-07 01:10:51
502,Avera,33.19,-82.53,68.0,82,90,6.93,US,2020-11-07 01:10:51
503,Dunmore Town,25.5,-76.65,80.53,75,100,23.67,BS,2020-11-07 01:10:51
504,Jefferson City,38.58,-92.17,71.6,49,1,4.7,US,2020-11-07 01:10:01
505,Muscat,23.61,58.59,73.4,83,0,1.14,OM,2020-11-07 01:07:17
506,Coahuayana,18.73,-103.68,78.8,69,5,11.41,MX,2020-11-07 01:10:52
507,Red Bluff,40.18,-122.24,55.99,43,20,6.93,US,2020-11-07 01:10:52
508,Waddan,29.16,16.14,57.43,90,3,6.24,LY,2020-11-07 01:10:52
509,Oneonta,42.45,-75.06,53.01,77,76,5.53,US,2020-11-07 01:10:53
510,Bilma,18.69,12.92,68.52,24,0,8.55,NE,2020-11-07 01:04:56
511,Moshenskoye,58.51,34.59,45.59,88,100,12.53,RU,2020-11-07 01:10:53
512,Belmonte,-15.86,-38.88,75.2,88,0,3.36,BR,2020-11-07 01:10:53
513,Suntar,62.14,117.63,-1.16,89,95,6.2,RU,2020-11-07 01:10:53
514,Altus,34.64,-99.33,64.4,77,1,5.82,US,2020-11-07 01:10:53
515,Sulangan,11.14,123.72,81.21,84,100,19.55,PH,2020-11-07 01:10:54
516,Kibre Mengist,5.88,38.98,59.59,97,100,2.73,ET,2020-11-07 01:10:54
517,Agadez,19.75,10.25,64.56,33,0,13.18,NE,2020-11-07 01:10:54
518,Biltine,14.53,20.92,72.9,21,0,12.53,TD,2020-11-07 01:10:54
519,Korla,41.76,86.15,34.56,72,100,3.22,CN,2020-11-07 01:04:58
520,Richards Bay,-28.78,32.04,69.44,92,17,7.49,ZA,2020-11-07 01:10:55
521,Baculin,7.45,126.58,81.97,71,100,2.33,PH,2020-11-07 01:10:55
522,Pomabamba,-8.83,-77.47,53.28,67,91,2.28,PE,2020-11-07 01:10:55
523,Clyde River,70.47,-68.59,6.8,84,75,18.34,CA,2020-11-07 01:03:11
524,Labuhan,-6.88,112.21,83.08,71,6,5.44,ID,2020-11-07 01:10:56
525,Dongkan,34.0,119.83,63.34,43,0,7.47,CN,2020-11-07 01:10:56
526,Pahrump,36.21,-115.98,75.0,12,22,7.0,US,2020-11-07 01:10:56
527,Ellensburg,47.0,-120.55,46.0,68,44,7.0,US,2020-11-07 01:08:42
528,Aripuana,-9.17,-60.63,77.94,74,0,2.42,BR,2020-11-07 01:10:57
529,Knysna,-34.04,23.05,55.4,82,100,2.24,ZA,2020-11-07 01:10:57
530,Omsukchan,62.53,155.8,4.57,91,100,4.65,RU,2020-11-07 01:10:57
531,Jadu,31.95,12.03,54.12,91,49,2.1,LY,2020-11-07 01:10:57
532,Sur,22.57,59.53,76.46,70,69,5.03,OM,2020-11-07 01:10:57
533,Namatanai,-3.67,152.43,85.32,65,81,8.93,PG,2020-11-07 01:10:57
534,Half Moon Bay,37.46,-122.43,55.0,87,75,6.93,US,2020-11-07 01:10:58
535,Iguape,-24.71,-47.56,64.56,73,2,2.21,BR,2020-11-07 01:09:39
536,San Jeronimo,-11.95,-75.28,51.66,67,17,3.94,PE,2020-11-07 01:10:58
537,Mildura,-34.2,142.15,62.6,48,40,11.41,AU,2020-11-07 01:10:58
538,Santa Isabel Do Rio Negro,-0.41,-65.02,75.7,96,100,2.55,BR,2020-11-07 01:06:01
539,Shenjiamen,29.96,122.3,67.23,62,56,11.07,CN,2020-11-07 01:10:59
540,Luderitz,-26.65,15.16,58.8,75,0,2.82,NA,2020-11-07 01:04:31
541,Conceicao Do Araguaia,-8.26,-49.26,72.46,96,100,2.44,BR,2020-11-07 01:10:59
542,Lima,-12.04,-77.03,64.4,82,90,11.41,PE,2020-11-07 01:09:28
543,Caravelas,-17.71,-39.25,73.22,88,100,5.5,BR,2020-11-07 01:04:39
544,Bubaque,11.28,-15.83,84.56,78,98,15.37,GW,2020-11-07 01:11:00
545,Podporozhye,60.91,34.17,43.9,79,79,10.69,RU,2020-11-07 01:11:00
546,Dingle,11.0,122.67,81.3,83,100,8.03,PH,2020-11-07 01:11:00
547,Semporna,4.48,118.61,80.6,88,20,7.02,MY,2020-11-07 01:11:00
548,Codajas,-3.84,-62.06,77.92,77,1,2.59,BR,2020-11-07 01:11:00
549,Glendive,47.11,-104.71,48.2,66,1,12.75,US,2020-11-07 01:11:01
550,Snyder,32.72,-100.92,69.8,35,1,5.82,US,2020-11-07 01:11:01
551,Aden,12.78,45.04,79.41,70,58,18.45,YE,2020-11-07 01:08:47
552,Orapa,-21.28,25.37,82.65,35,2,4.52,BW,2020-11-07 01:11:01
553,Saint-Gilles,43.68,4.43,53.6,100,20,3.36,FR,2020-11-07 01:11:01
554,Nabire,-3.37,135.48,86.61,60,100,5.01,ID,2020-11-07 01:11:02
555,Hami,42.8,93.45,38.7,61,0,6.69,CN,2020-11-07 01:04:46
556,Byron Bay,-28.65,153.62,75.99,60,64,13.87,AU,2020-11-07 01:11:02
557,Honningsvag,70.98,25.97,41.49,79,95,32.59,NO,2020-11-07 01:11:02
558,Tilichiki,60.47,166.1,28.87,91,0,3.44,RU,2020-11-07 01:04:45
559,Ambon,-3.7,128.18,82.85,70,100,9.17,ID,2020-11-07 01:11:03
560,Port Macquarie,-31.43,152.92,73.99,50,23,8.59,AU,2020-11-07 01:06:20
561,Nantucket,41.28,-70.1,59.0,93,90,17.22,US,2020-11-07 01:11:03
